"id"  , "category_id", "category_name", "question_subcategory_id", "subcategory_name"                                       , "question_topic_id", "topic_name"                                                       , "pregunta"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , "respuesta"                                                                                          , "alternativas", "source", "answer_ai", "discussion_ai", "justification_ai", "source_ai"
"1003", "8"          , "PATOLOGIA"    , "1"                      , "ADAPTACION, LESIONES Y MUERTE CELULAR"                  , "22"               , "LESIÓN E INJURIA CELULAR"                                         , "La leucemia mieloide crónica se debe a una translocación recíproca entre la banda q34 del cromosoma 9 y la banda q11 del cromosoma 22,  Esto se conoce como:"                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , "Cromosoma Filadelfia"                                                                               , "1"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"1003", "8"          , "PATOLOGIA"    , "1"                      , "ADAPTACION, LESIONES Y MUERTE CELULAR"                  , "22"               , "LESIÓN E INJURIA CELULAR"                                         , "La leucemia mieloide crónica se debe a una translocación recíproca entre la banda q34 del cromosoma 9 y la banda q11 del cromosoma 22,  Esto se conoce como:"                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , "Cromosoma Baltimor"                                                                                 , "0"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"1004", "8"          , "PATOLOGIA"    , "1"                      , "ADAPTACION, LESIONES Y MUERTE CELULAR"                  , "22"               , "LESIÓN E INJURIA CELULAR"                                         , "¿Cuál de las siguientes enfermedades se debe a una rotura cromosómica por exposición a la luz solar o a la radiación UV?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , "Síndrome de Algelman"                                                                               , "0"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"1004", "8"          , "PATOLOGIA"    , "1"                      , "ADAPTACION, LESIONES Y MUERTE CELULAR"                  , "22"               , "LESIÓN E INJURIA CELULAR"                                         , "¿Cuál de las siguientes enfermedades se debe a una rotura cromosómica por exposición a la luz solar o a la radiación UV?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , "Síndrome del cromosoma X frágil"                                                                    , "0"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"1004", "8"          , "PATOLOGIA"    , "1"                      , "ADAPTACION, LESIONES Y MUERTE CELULAR"                  , "22"               , "LESIÓN E INJURIA CELULAR"                                         , "¿Cuál de las siguientes enfermedades se debe a una rotura cromosómica por exposición a la luz solar o a la radiación UV?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , "Síndrome de Miller-Dieker"                                                                          , "0"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"1004", "8"          , "PATOLOGIA"    , "1"                      , "ADAPTACION, LESIONES Y MUERTE CELULAR"                  , "22"               , "LESIÓN E INJURIA CELULAR"                                         , "¿Cuál de las siguientes enfermedades se debe a una rotura cromosómica por exposición a la luz solar o a la radiación UV?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , "Síndrome de Prader-Willi"                                                                           , "0"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"1004", "8"          , "PATOLOGIA"    , "1"                      , "ADAPTACION, LESIONES Y MUERTE CELULAR"                  , "22"               , "LESIÓN E INJURIA CELULAR"                                         , "¿Cuál de las siguientes enfermedades se debe a una rotura cromosómica por exposición a la luz solar o a la radiación UV?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , "Xerodermia pigmentosa"                                                                              , "1"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"1005", "8"          , "PATOLOGIA"    , "1"                      , "ADAPTACION, LESIONES Y MUERTE CELULAR"                  , "22"               , "LESIÓN E INJURIA CELULAR"                                         , "En ocasiones se puede encontrar el isocromosoma Xq en los individuos que presentan uno de los siguientes síndromes:"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , "Leuceia promielocítica aguda"                                                                       , "0"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"1005", "8"          , "PATOLOGIA"    , "1"                      , "ADAPTACION, LESIONES Y MUERTE CELULAR"                  , "22"               , "LESIÓN E INJURIA CELULAR"                                         , "En ocasiones se puede encontrar el isocromosoma Xq en los individuos que presentan uno de los siguientes síndromes:"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , "Leucemia mieloide crónica"                                                                          , "0"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"1005", "8"          , "PATOLOGIA"    , "1"                      , "ADAPTACION, LESIONES Y MUERTE CELULAR"                  , "22"               , "LESIÓN E INJURIA CELULAR"                                         , "En ocasiones se puede encontrar el isocromosoma Xq en los individuos que presentan uno de los siguientes síndromes:"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , "Síndrome de Turner"                                                                                 , "1"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"1005", "8"          , "PATOLOGIA"    , "1"                      , "ADAPTACION, LESIONES Y MUERTE CELULAR"                  , "22"               , "LESIÓN E INJURIA CELULAR"                                         , "En ocasiones se puede encontrar el isocromosoma Xq en los individuos que presentan uno de los siguientes síndromes:"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , "Síndrome de Klinefelter."                                                                           , "0"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"1005", "8"          , "PATOLOGIA"    , "1"                      , "ADAPTACION, LESIONES Y MUERTE CELULAR"                  , "22"               , "LESIÓN E INJURIA CELULAR"                                         , "En ocasiones se puede encontrar el isocromosoma Xq en los individuos que presentan uno de los siguientes síndromes:"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , "Síndrome de Down"                                                                                   , "0"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"1006", "8"          , "PATOLOGIA"    , "1"                      , "ADAPTACION, LESIONES Y MUERTE CELULAR"                  , "22"               , "LESIÓN E INJURIA CELULAR"                                         , "Alcohólico de 55 años. Refiere epistaxis frecuentes, sangrado gingival y dolor en la cadera izquierda. Examen: adelgazado, piel con equimosis y petequias en MMSS, muslos y pies. Gingivas con sangrado. El cuadro descrito se correlaciona mejor con la deficiencia de la siguiente vitamina:"                                                                                                                                                                                                                                                                                                                                  , "C"                                                                                                  , "1"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"1006", "8"          , "PATOLOGIA"    , "1"                      , "ADAPTACION, LESIONES Y MUERTE CELULAR"                  , "22"               , "LESIÓN E INJURIA CELULAR"                                         , "Alcohólico de 55 años. Refiere epistaxis frecuentes, sangrado gingival y dolor en la cadera izquierda. Examen: adelgazado, piel con equimosis y petequias en MMSS, muslos y pies. Gingivas con sangrado. El cuadro descrito se correlaciona mejor con la deficiencia de la siguiente vitamina:"                                                                                                                                                                                                                                                                                                                                  , "B1"                                                                                                 , "0"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"1006", "8"          , "PATOLOGIA"    , "1"                      , "ADAPTACION, LESIONES Y MUERTE CELULAR"                  , "22"               , "LESIÓN E INJURIA CELULAR"                                         , "Alcohólico de 55 años. Refiere epistaxis frecuentes, sangrado gingival y dolor en la cadera izquierda. Examen: adelgazado, piel con equimosis y petequias en MMSS, muslos y pies. Gingivas con sangrado. El cuadro descrito se correlaciona mejor con la deficiencia de la siguiente vitamina:"                                                                                                                                                                                                                                                                                                                                  , "B6"                                                                                                 , "0"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"1006", "8"          , "PATOLOGIA"    , "1"                      , "ADAPTACION, LESIONES Y MUERTE CELULAR"                  , "22"               , "LESIÓN E INJURIA CELULAR"                                         , "Alcohólico de 55 años. Refiere epistaxis frecuentes, sangrado gingival y dolor en la cadera izquierda. Examen: adelgazado, piel con equimosis y petequias en MMSS, muslos y pies. Gingivas con sangrado. El cuadro descrito se correlaciona mejor con la deficiencia de la siguiente vitamina:"                                                                                                                                                                                                                                                                                                                                  , "K"                                                                                                  , "0"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
